Zcurve12_A.x,Zcurve12_A.y,Zcurve12_A.z,Zcurve12_C.x,Zcurve12_C.y,Zcurve12_C.z,Zcurve12_G.x,Zcurve12_G.y,Zcurve12_G.z,Zcurve12_T.x,Zcurve12_T.y,Zcurve12_T.z
0.0,0.0,0.2,0.0,0.0,0.0,-0.1,-0.1,0.1,-0.3,0.1,-0.1
0.0,0.2,0.2,0.1,0.3,0.1,-0.1,0.1,-0.1,-0.2,-0.2,0.2
0.0,0.0,-0.2,-0.3,-0.1,0.1,0.0,0.0,0.2,-0.1,-0.1,-0.1
0.0,0.0,0.0,-0.3,-0.1,0.1,0.2,-0.2,-0.6,0.1,-0.1,-0.1
-0.3,0.1,-0.1,0.2,0.2,0.4,-0.1,0.1,-0.1,0.0,0.0,-0.2
0.5,0.1,0.1,-0.1,0.1,-0.1,0.1,0.3,0.1,0.1,-0.1,-0.1
0.0,0.0,0.0,-0.4,0.0,-0.2,-0.1,0.1,-0.3,-0.1,0.1,-0.1
0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0,-0.4,0.0
-0.3,0.1,-0.1,0.1,0.3,0.1,0.0,0.0,0.2,0.0,-0.2,0.0
0.3,0.1,0.1,0.2,0.0,0.0,-0.2,-0.2,0.2,-0.1,0.3,-0.1
-0.1,-0.1,0.1,-0.3,0.1,-0.3,-0.1,-0.1,0.1,-0.3,0.1,-0.1
-0.1,0.1,0.1,0.2,0.0,0.0,0.1,-0.1,0.1,0.0,0.0,-0.2
0.0,0.0,-0.2,-0.1,0.1,0.1,0.0,0.2,0.0,0.1,-0.3,-0.1
0.0,0.0,0.2,-0.1,0.1,-0.3,0.2,0.0,0.0,-0.3,0.1,-0.1
-0.1,-0.1,0.3,0.0,0.4,0.0,-0.1,0.1,-0.1,0.0,0.2,0.0
-0.1,-0.1,0.1,-0.1,-0.1,0.1,0.1,-0.1,-0.5,0.1,-0.1,0.1
0.2,0.0,0.0,0.1,-0.1,-0.3,0.1,0.1,-0.3,0.0,0.0,0.0
0.1,-0.1,-0.1,-0.1,-0.1,0.1,-0.1,-0.3,0.3,0.3,-0.3,-0.3
-0.3,-0.1,0.3,-0.1,0.1,-0.1,0.0,0.0,0.0,0.2,0.2,0.4
0.1,0.1,0.5,0.1,-0.1,-0.1,0.0,0.0,0.0,0.0,0.2,0.2
0.1,-0.1,-0.1,0.1,-0.1,-0.1,-0.1,-0.3,0.1,-0.1,-0.1,0.1
0.1,0.1,0.3,0.1,-0.1,-0.3,0.2,0.0,0.0,-0.2,0.2,-0.2
-0.1,-0.1,0.3,0.1,-0.1,-0.1,0.1,0.1,0.1,-0.3,-0.1,0.3
0.7,0.3,0.3,0.1,0.1,0.1,0.2,0.2,0.2,0.0,0.0,0.0
-0.1,-0.3,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.3,-0.1,-0.1
0.1,0.1,-0.1,-0.3,0.5,-0.3,0.0,0.0,-0.2,0.0,0.0,0.0
0.1,0.3,0.1,0.0,-0.2,0.0,0.1,-0.1,0.1,0.0,0.2,0.0
0.0,0.0,0.0,-0.1,0.1,-0.5,0.0,-0.2,-0.2,-0.1,0.1,-0.1
-0.2,0.0,0.0,-0.2,-0.2,0.2,0.0,0.0,0.2,0.2,-0.2,0.0
0.0,0.0,0.0,-0.6,-0.4,0.4,0.0,0.0,0.0,-0.4,0.4,-0.4
0.2,0.4,0.2,-0.3,-0.1,0.1,0.0,0.0,0.0,-0.1,0.3,-0.1
-0.1,0.1,0.1,0.1,0.1,0.3,-0.1,-0.1,0.1,0.1,-0.1,-0.3
-0.1,-0.1,0.3,-0.3,0.3,-0.3,0.0,0.2,0.0,0.2,-0.2,-0.2
0.2,0.2,0.0,0.0,0.2,0.0,0.3,0.1,0.1,0.1,-0.1,-0.1
0.0,0.0,0.0,-0.4,-0.2,0.2,-0.3,0.1,-0.1,0.1,-0.1,-0.3
0.1,-0.1,-0.3,-0.2,0.0,0.0,0.1,-0.1,0.1,0.2,0.0,0.0
0.1,0.1,0.1,0.2,0.2,0.2,0.0,0.0,-0.2,0.1,-0.1,-0.1
0.1,0.3,0.1,-0.2,0.4,-0.4,0.1,0.1,0.1,0.0,0.0,0.0
0.0,0.0,0.2,0.2,0.0,0.0,-0.1,-0.3,0.1,0.1,-0.1,-0.3
-0.1,-0.1,0.1,-0.1,0.1,-0.1,0.0,0.0,0.0,-0.4,0.2,-0.2
0.3,0.1,0.1,0.2,-0.2,-0.2,0.1,0.1,-0.3,0.0,0.0,0.0
0.1,0.1,0.3,-0.1,-0.1,0.1,0.1,-0.3,-0.1,-0.1,0.3,-0.1
0.0,-0.2,0.0,-0.1,0.1,-0.1,0.2,0.0,-0.2,-0.1,-0.3,0.1
0.2,0.0,0.2,0.1,0.1,0.1,0.2,-0.2,0.0,-0.1,0.1,-0.1
0.1,-0.1,-0.1,0.3,-0.1,-0.1,-0.3,0.1,-0.3,0.1,-0.1,-0.1
0.0,0.0,-0.2,0.2,0.0,-0.2,-0.2,0.4,-0.2,0.0,0.0,0.0
0.2,-0.2,-0.2,0.1,0.1,0.1,-0.1,-0.1,0.3,-0.2,-0.2,0.0
-0.1,0.1,-0.1,0.2,-0.2,-0.2,0.2,0.0,0.2,-0.1,-0.3,0.1
-0.1,-0.1,0.1,-0.1,0.1,0.1,0.0,0.2,0.0,-0.2,-0.2,0.0
0.0,0.0,0.2,0.1,0.1,-0.1,-0.2,0.2,-0.2,-0.3,-0.1,0.1
0.0,0.0,-0.2,0.1,0.1,-0.3,0.0,0.2,0.0,-0.1,0.1,-0.1
0.1,0.3,0.1,-0.1,0.3,-0.3,0.1,0.1,0.1,-0.1,0.1,-0.1
0.1,0.1,0.3,0.0,0.0,0.2,0.0,0.0,-0.2,-0.1,0.1,-0.3
0.1,0.1,0.5,0.1,0.1,0.1,0.0,0.0,0.0,-0.4,0.0,0.0
0.0,-0.2,0.0,0.1,0.1,0.1,0.0,-0.2,-0.2,-0.1,0.1,0.1
-0.2,-0.2,0.2,0.1,-0.1,-0.1,-0.1,0.1,0.1,0.4,0.0,0.0
-0.1,0.1,-0.3,0.0,0.0,0.0,-0.2,0.2,-0.2,0.1,0.1,0.1
-0.1,0.1,-0.1,-0.3,0.1,-0.1,-0.1,0.1,-0.1,-0.1,0.1,-0.1
0.0,0.2,-0.2,0.2,0.0,0.0,0.1,-0.1,0.1,-0.1,0.1,-0.1
0.1,-0.1,0.1,0.0,0.2,0.0,-0.1,0.1,0.1,0.2,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,-0.4,0.2,0.0,-0.2,-0.2
0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,-0.2,0.0,-0.2,0.2
-0.1,0.3,-0.1,-0.1,-0.1,0.1,0.0,0.0,0.2,0.2,-0.2,0.0
-0.2,0.0,0.0,-0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2
0.0,-0.2,0.0,-0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.0
-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0
-0.1,-0.1,0.1,-0.1,0.1,-0.3,0.0,0.0,0.2,-0.2,0.0,-0.2
-0.2,0.0,0.2,-0.1,0.5,-0.1,0.0,0.0,0.0,-0.1,0.1,-0.1
0.0,0.0,0.0,-0.4,0.2,-0.2,-0.3,-0.1,0.1,0.3,-0.3,-0.3
0.0,-0.2,0.0,0.0,0.0,0.0,0.3,-0.1,0.1,-0.1,-0.1,-0.1
-0.2,0.0,-0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0
0.0,0.0,-0.2,-0.1,-0.1,0.1,0.2,-0.2,0.0,0.1,-0.3,-0.1
-0.1,-0.3,0.1,0.1,0.1,0.1,-0.2,-0.2,0.2,0.2,0.0,0.2
-0.2,-0.2,0.2,-0.2,0.2,0.0,-0.1,0.1,-0.1,-0.1,0.3,-0.1
0.1,-0.1,-0.3,0.3,0.1,0.1,-0.3,0.1,-0.1,0.1,-0.1,-0.1
0.2,0.2,0.0,0.1,0.1,0.1,0.0,0.0,0.2,-0.1,-0.1,-0.1
0.1,0.3,0.3,-0.1,-0.1,0.1,0.1,0.1,0.1,0.1,-0.1,0.1
0.0,-0.2,0.0,0.0,0.0,0.2,-0.2,0.0,0.0,-0.2,-0.2,0.0
-0.1,-0.1,0.1,0.0,0.0,-0.2,0.0,0.0,0.0,-0.1,-0.1,-0.1
0.1,0.1,-0.1,0.1,0.3,0.1,0.0,-0.2,0.0,0.0,0.2,0.0
0.1,-0.3,-0.1,0.2,0.0,0.0,0.1,0.3,0.1,-0.2,0.0,0.0
0.1,-0.1,0.1,0.0,0.0,0.0,0.3,0.3,0.3,0.0,-0.4,0.0
-0.1,0.1,-0.1,0.1,0.1,0.1,-0.3,-0.3,0.3,0.1,-0.3,0.1
-0.1,-0.1,0.1,-0.2,0.2,0.0,0.0,0.0,0.0,-0.5,-0.1,0.1
0.1,0.1,0.1,0.1,-0.1,-0.1,0.2,0.2,0.2,-0.2,-0.2,0.2
-0.3,-0.3,0.3,0.2,0.0,0.0,0.0,0.2,0.0,0.1,0.1,-0.1
-0.1,0.1,0.1,-0.1,-0.1,0.1,0.0,0.0,0.2,0.0,-0.4,0.0
0.0,-0.2,0.0,-0.2,0.0,0.2,0.0,0.0,0.0,-0.2,0.2,0.0
0.0,0.0,0.0,-0.3,-0.1,-0.1,-0.1,0.1,-0.1,-0.2,0.0,-0.2
-0.2,-0.2,0.2,0.0,0.0,0.0,0.3,-0.3,-0.1,0.1,-0.1,0.1
0.0,0.0,-0.2,0.2,0.0,-0.2,-0.2,0.0,0.0,-0.2,0.0,0.0
0.0,0.0,0.0,0.0,-0.2,0.0,-0.2,-0.2,0.0,0.0,-0.2,-0.2
0.1,-0.1,-0.1,0.0,-0.2,0.0,-0.2,0.2,0.0,-0.1,-0.1,-0.1
-0.2,0.0,0.0,0.0,-0.2,0.0,0.1,0.3,0.1,-0.1,-0.1,-0.1
-0.3,0.1,-0.1,0.0,0.6,0.0,0.0,0.0,0.0,-0.1,0.1,-0.1
0.0,-0.2,0.0,-0.2,-0.2,0.2,-0.1,-0.1,0.1,-0.1,0.3,0.1
-0.2,0.2,-0.2,0.0,-0.2,0.2,-0.1,0.1,-0.1,-0.3,-0.1,0.1
0.0,-0.2,0.0,-0.2,-0.2,0.2,-0.1,0.3,-0.1,0.1,0.1,-0.1
0.0,0.0,-0.2,0.0,0.0,0.2,-0.3,-0.3,0.3,0.1,0.1,-0.1
0.1,0.3,0.3,0.1,-0.1,-0.1,0.1,0.1,0.3,0.1,-0.1,-0.1
0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,-0.2,-0.2
-0.3,0.1,-0.1,0.2,0.0,0.0,0.0,0.0,0.2,0.1,-0.1,0.1
0.2,0.4,0.0,0.1,0.3,0.1,-0.1,-0.1,0.1,0.0,0.0,0.0
-0.1,0.1,-0.1,-0.2,0.4,-0.4,0.1,-0.1,-0.3,0.0,0.0,0.0
-0.1,-0.1,0.1,-0.1,-0.1,0.1,0.2,-0.2,0.0,0.2,-0.4,-0.2
0.0,-0.2,0.0,-0.3,0.3,-0.1,0.0,0.0,-0.2,-0.1,0.1,-0.1
0.5,0.3,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.0,0.0,0.0
0.0,0.0,0.0,0.1,-0.1,-0.1,0.0,-0.4,0.0,-0.3,-0.3,0.1
0.2,0.4,0.2,-0.2,-0.2,0.2,-0.2,0.0,0.0,0.2,-0.2,-0.2
-0.1,0.3,-0.3,0.2,0.4,0.2,0.1,0.1,0.1,0.0,0.0,0.0
-0.2,-0.2,0.2,-0.1,0.1,0.1,-0.1,0.1,-0.1,0.0,0.0,0.0
0.0,0.2,0.0,-0.2,0.0,0.2,0.0,0.0,0.0,-0.4,0.0,0.0
-0.1,0.1,0.1,0.2,0.0,0.0,-0.1,-0.1,-0.1,0.0,0.0,-0.2
-0.1,0.1,0.1,0.1,0.3,0.1,0.2,-0.2,-0.2,0.0,0.0,-0.2
0.1,-0.1,0.1,0.2,0.0,0.0,0.1,0.1,-0.1,0.0,-0.2,0.0
0.1,-0.3,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.4
0.0,0.2,0.2,0.0,0.2,0.0,-0.1,-0.1,0.1,0.1,-0.1,0.1
0.1,0.3,0.3,0.2,0.0,0.0,-0.1,-0.1,0.1,0.0,0.2,0.0
0.6,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0
-0.1,-0.1,0.1,-0.2,-0.2,0.2,-0.1,-0.1,0.1,0.0,0.2,0.0
0.0,0.0,0.0,-0.6,0.4,-0.6,-0.1,0.1,-0.1,-0.1,0.1,-0.1
0.4,-0.2,-0.2,0.0,0.0,0.2,-0.1,0.3,-0.1,0.1,-0.1,-0.1
0.0,0.0,0.2,0.1,0.1,0.1,-0.1,-0.1,-0.1,-0.2,-0.2,0.0
0.1,-0.1,-0.1,0.2,-0.2,-0.2,-0.1,-0.1,0.1,0.0,0.0,-0.2
0.0,-0.2,0.0,0.0,0.2,-0.2,-0.1,-0.1,0.1,-0.1,0.3,-0.1
0.2,-0.2,-0.2,0.0,0.0,0.0,-0.1,-0.1,0.5,0.1,-0.3,-0.1
0.1,0.1,-0.1,-0.1,0.1,0.1,0.0,0.0,0.2,-0.2,0.0,0.0
0.0,-0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0
0.1,0.3,0.1,0.2,-0.2,-0.2,0.0,-0.2,-0.2,0.1,0.1,0.1
0.1,-0.1,0.1,0.0,0.2,0.0,-0.1,-0.1,-0.1,0.2,0.0,0.0
-0.2,-0.2,0.2,0.1,0.1,0.1,-0.2,-0.2,0.2,0.1,-0.1,-0.1
-0.2,0.0,0.0,0.1,0.1,0.1,-0.2,-0.2,0.2,0.1,-0.3,0.1
0.0,-0.2,0.0,-0.2,0.2,0.0,-0.1,0.1,-0.1,0.1,0.1,-0.1
0.3,-0.1,-0.1,-0.2,0.4,-0.2,0.2,0.2,0.2,-0.1,0.1,-0.1
0.0,0.0,0.0,0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.4,-0.6,0.4
0.0,0.0,-0.2,0.0,0.0,-0.2,0.1,0.1,0.3,-0.1,-0.1,-0.1
0.0,0.0,-0.2,0.0,0.0,0.2,-0.2,0.2,-0.2,0.0,-0.2,0.2
0.1,-0.1,-0.3,0.1,0.1,0.3,-0.2,0.0,0.0,-0.2,0.2,-0.2
-0.1,-0.1,-0.1,0.0,0.0,0.0,0.2,0.0,0.2,0.1,-0.1,0.1
0.2,0.0,0.0,-0.1,-0.1,0.1,-0.2,-0.2,0.2,-0.3,-0.1,-0.1
0.4,-0.4,-0.4,0.0,0.0,0.2,0.1,0.3,0.1,-0.1,0.1,-0.1
-0.1,0.1,-0.1,0.3,-0.1,-0.3,-0.3,0.1,-0.1,0.1,0.1,0.1
0.2,0.4,0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.4,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,-0.1,-0.1
0.2,0.0,0.0,-0.2,-0.2,0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2
-0.2,0.0,0.0,-0.2,0.2,0.0,-0.2,0.0,0.0,0.2,0.0,0.0
0.1,-0.1,-0.3,0.2,0.0,0.0,0.4,0.0,0.0,-0.1,0.1,-0.1
-0.2,0.4,-0.2,-0.1,-0.1,0.3,0.0,0.0,0.0,0.1,-0.1,0.1
-0.3,0.1,-0.1,-0.2,0.2,0.0,0.1,0.1,0.1,0.0,0.0,-0.2
0.1,-0.1,-0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.0,0.0,0.2
-0.2,0.0,0.0,0.1,0.1,-0.1,-0.1,0.1,-0.3,0.2,0.0,0.0
-0.1,0.3,-0.1,-0.2,0.0,0.2,0.1,0.1,0.1,0.2,0.0,0.0
0.1,-0.1,-0.1,-0.3,0.1,-0.1,-0.2,-0.2,0.2,0.0,0.0,0.0
-0.1,-0.3,0.1,-0.3,0.5,-0.3,0.1,0.1,0.1,0.1,0.1,0.1
0.0,-0.2,0.0,0.0,0.2,-0.2,0.0,0.2,0.0,0.0,0.0,0.2
-0.1,0.1,-0.1,-0.5,0.5,-0.3,0.0,0.0,0.0,-0.2,0.2,-0.2
0.2,-0.2,-0.2,-0.2,0.6,-0.2,0.0,0.0,-0.2,0.0,0.0,0.0
-0.1,-0.1,-0.1,0.0,-0.2,0.0,-0.2,-0.2,0.2,0.1,0.3,0.1
0.2,0.0,0.2,0.1,0.1,-0.1,0.0,0.2,0.0,-0.1,0.1,-0.1
-0.1,0.3,-0.1,-0.1,0.1,-0.1,0.1,0.1,0.1,-0.1,0.1,-0.1
0.3,0.1,0.3,0.0,0.0,0.0,0.3,0.1,0.1,0.0,-0.2,0.0
-0.1,0.1,0.1,0.2,0.0,0.0,-0.2,0.0,0.0,0.3,-0.1,-0.1
0.3,0.1,0.1,0.1,0.1,-0.1,-0.3,0.1,-0.1,0.1,0.1,0.1
0.0,0.2,-0.2,-0.1,-0.1,-0.1,0.0,0.0,0.2,0.1,0.1,0.1
0.0,0.0,0.0,0.1,-0.3,-0.1,-0.3,-0.1,0.1,-0.2,0.0,-0.2
0.3,0.1,-0.1,0.1,-0.1,-0.1,0.1,-0.1,0.1,0.1,0.1,0.1
0.0,-0.2,0.0,0.1,-0.1,-0.1,0.1,-0.1,-0.1,0.0,0.0,-0.2
-0.1,0.1,-0.1,0.0,-0.2,-0.2,0.2,-0.2,-0.4,-0.1,0.1,-0.1
0.0,0.0,0.0,-0.2,0.0,-0.2,0.0,-0.2,-0.2,0.0,0.0,-0.2
-0.1,0.3,-0.1,0.0,0.2,0.0,-0.1,0.1,-0.1,0.0,0.0,0.0
0.0,0.0,0.0,-0.8,0.4,-0.4,0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.2,0.0,-0.2,-0.2,0.2,0.3,-0.1,-0.1,0.1,-0.3,-0.1
0.1,-0.1,-0.1,0.1,-0.1,0.1,-0.1,-0.1,0.3,-0.1,0.1,-0.3
0.0,0.0,0.2,0.1,-0.1,-0.3,0.1,0.1,-0.1,-0.2,0.0,0.0
0.0,0.0,-0.2,0.1,-0.1,-0.1,-0.1,-0.1,0.3,0.0,-0.2,0.2
0.1,-0.1,0.1,0.1,0.1,0.1,0.0,-0.2,0.0,0.0,0.0,0.0
-0.1,-0.3,0.1,0.1,0.1,0.1,0.1,-0.1,0.1,0.1,0.1,-0.1
0.1,0.3,0.1,0.2,0.0,0.0,0.3,-0.3,-0.5,0.0,0.0,0.0
-0.1,-0.1,0.1,0.0,-0.2,0.0,0.3,0.1,0.1,-0.2,0.0,-0.2
0.0,0.0,-0.2,-0.2,0.0,0.2,-0.1,0.1,-0.1,-0.1,-0.1,-0.1
-0.1,0.1,-0.1,0.0,0.2,-0.2,0.2,-0.2,0.0,0.1,-0.1,-0.1
0.0,0.0,-0.2,-0.1,-0.1,0.3,0.0,0.2,0.0,0.1,-0.3,-0.1
0.1,0.1,0.1,0.0,0.0,0.0,-0.1,-0.3,0.1,-0.2,-0.4,0.4
-0.4,0.0,0.0,-0.1,-0.1,0.1,0.2,0.0,0.0,0.3,0.3,0.3
0.1,-0.3,-0.1,0.1,0.1,0.1,0.5,-0.1,-0.1,-0.1,0.1,-0.1
0.0,0.0,0.0,-0.2,0.2,-0.2,-0.2,0.2,-0.2,0.0,0.0,-0.2
0.0,0.0,-0.2,0.0,0.0,0.2,0.1,-0.1,-0.3,-0.1,-0.3,0.1
0.1,-0.1,-0.1,-0.2,0.0,-0.2,0.0,0.0,-0.4,0.1,0.1,0.1
-0.2,0.0,0.0,0.2,-0.2,-0.4,-0.1,0.3,-0.1,-0.1,0.1,-0.1
0.1,0.1,-0.1,0.0,0.0,0.0,0.0,0.0,-0.2,0.1,0.1,0.1
0.1,-0.1,0.1,-0.1,0.1,-0.3,0.1,-0.1,0.1,-0.1,0.1,-0.1
-0.2,-0.2,0.2,-0.1,-0.3,0.1,-0.1,-0.1,0.1,-0.2,0.4,-0.2
-0.1,-0.1,-0.1,0.0,0.0,0.0,0.3,0.1,0.3,0.2,-0.2,-0.2
-0.1,-0.1,-0.1,0.1,-0.1,-0.1,0.3,-0.1,-0.3,0.1,0.1,0.1
-0.1,0.1,-0.1,-0.2,0.2,0.0,-0.2,0.0,0.0,0.1,-0.1,0.1
-0.3,-0.3,0.3,0.0,0.0,0.0,0.3,-0.1,-0.1,0.2,0.0,0.2
0.2,-0.2,-0.2,0.1,0.1,0.1,0.1,-0.3,0.1,0.0,0.0,-0.2
0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,0.0,0.4,0.2,-0.2,-0.2
0.3,0.1,-0.1,-0.2,0.0,0.0,0.2,0.2,0.2,0.1,-0.1,-0.1
0.4,0.0,0.0,0.0,0.0,-0.2,0.2,0.2,0.0,0.0,0.0,0.0
0.3,0.3,0.1,0.2,0.0,0.0,-0.2,0.0,0.0,0.1,0.1,0.1
0.0,0.0,0.0,-0.1,-0.1,-0.3,-0.1,0.1,-0.3,0.0,0.0,-0.2
0.2,0.0,0.0,0.1,0.1,0.1,0.0,-0.2,0.2,-0.1,-0.1,-0.1
0.0,0.0,-0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,-0.2,0.0
0.6,0.6,0.4,0.1,-0.1,-0.1,0.1,0.1,0.1,0.0,0.0,0.0
0.2,0.0,0.0,0.1,-0.1,-0.1,-0.2,-0.2,0.2,-0.1,-0.1,0.1
0.1,-0.1,0.1,-0.1,-0.1,0.1,0.0,0.0,0.0,-0.4,-0.2,0.4
0.1,0.1,0.1,-0.1,-0.1,0.1,0.0,0.2,0.0,0.2,0.0,0.0
0.1,-0.1,-0.1,-0.1,0.1,-0.1,-0.1,0.1,-0.3,0.1,0.1,0.1
0.2,0.0,0.0,0.1,-0.1,-0.1,0.0,0.0,0.4,-0.1,-0.1,-0.1
0.2,-0.2,-0.2,0.0,-0.2,0.0,0.0,0.2,0.2,0.2,-0.2,-0.2
0.0,0.0,0.2,0.0,0.0,0.0,-0.2,0.2,-0.2,-0.2,0.0,0.0
-0.1,-0.1,0.1,0.0,0.0,-0.4,-0.3,0.1,-0.1,0.0,0.0,-0.2
0.1,-0.3,-0.1,0.0,0.0,0.0,-0.1,-0.1,0.3,0.0,-0.2,0.2
0.0,0.4,0.0,-0.3,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1
-0.1,-0.1,0.1,0.0,0.2,-0.2,0.1,-0.1,-0.3,0.0,-0.2,0.0
-0.2,0.0,0.0,0.2,0.2,0.0,-0.2,0.2,-0.2,0.2,-0.2,-0.2
-0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-0.3,-0.3,0.5
-0.3,0.1,-0.1,0.1,0.1,-0.1,0.2,0.2,0.2,0.0,-0.2,0.0
-0.2,0.0,0.0,-0.1,0.1,0.1,-0.2,0.0,0.0,0.1,0.1,-0.1
0.1,-0.1,-0.1,-0.3,0.5,-0.5,0.0,0.0,-0.2,0.0,0.0,0.0
0.2,0.0,0.4,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0
-0.3,0.1,-0.1,0.0,-0.2,0.0,-0.1,-0.1,0.1,0.0,0.2,0.2
0.1,-0.1,0.1,0.0,0.0,0.0,0.3,-0.3,-0.1,0.0,-0.2,0.0
-0.1,0.1,-0.1,-0.1,0.1,0.1,-0.2,0.0,0.0,-0.2,-0.4,0.2
0.1,-0.1,0.1,0.1,0.1,0.1,-0.1,-0.1,0.1,-0.1,0.1,0.3
-0.1,-0.1,0.1,-0.2,0.4,-0.4,-0.1,0.1,-0.3,0.0,0.0,0.0
-0.2,0.2,-0.2,-0.2,0.2,-0.2,-0.1,0.1,-0.1,0.1,0.1,0.1
0.0,0.0,0.0,-0.2,0.0,0.0,-0.1,-0.1,0.1,0.1,0.3,0.1
-0.1,0.1,0.1,-0.1,0.1,0.1,-0.1,-0.1,0.1,0.1,0.1,-0.1
0.1,0.1,-0.1,0.0,0.0,0.2,0.0,0.0,0.2,0.1,-0.1,-0.3
0.0,0.0,0.4,-0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,-0.2
0.2,-0.2,-0.2,0.1,0.1,0.1,-0.2,-0.2,0.0,0.1,-0.1,0.1
0.2,-0.2,-0.2,-0.2,0.0,0.2,0.0,0.2,0.0,-0.2,0.0,0.0
-0.2,0.0,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0.0,0.2,0.0
0.0,0.0,0.2,-0.1,0.1,0.1,0.1,0.1,-0.1,0.2,-0.2,-0.2
0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,0.0,0.0,0.2,0.0
0.2,0.2,0.4,0.0,0.0,0.0,0.1,-0.3,-0.1,0.1,-0.3,-0.1
0.0,0.0,-0.2,-0.1,-0.1,0.1,-0.1,-0.1,0.3,0.2,0.0,0.2
-0.1,-0.1,0.1,0.0,0.0,0.0,0.5,-0.3,-0.5,0.0,-0.2,0.0
-0.1,0.1,-0.1,-0.1,-0.3,0.3,-0.1,0.1,-0.1,-0.3,0.3,-0.3
-0.1,-0.1,-0.1,0.0,0.0,0.2,0.1,0.1,-0.1,0.0,0.0,0.2
0.3,0.3,0.1,0.2,-0.2,-0.2,0.3,0.1,0.1,0.0,0.0,0.0
0.0,-0.2,0.0,0.0,0.0,0.2,-0.3,0.1,-0.1,0.1,0.1,-0.1
0.2,0.0,0.0,-0.1,0.3,-0.1,0.1,-0.1,0.1,0.0,0.0,-0.2
-0.1,-0.3,0.1,0.2,0.0,0.0,0.2,0.0,-0.2,0.1,0.1,0.1
0.0,0.0,0.0,0.3,0.3,0.3,-0.2,0.2,-0.2,0.1,-0.1,-0.1
0.1,0.1,0.1,-0.3,0.3,-0.1,-0.2,0.2,-0.2,0.2,-0.2,-0.2
0.3,-0.1,-0.1,-0.1,0.1,0.1,0.0,0.2,-0.2,0.0,0.0,0.0
0.1,-0.1,-0.1,-0.3,-0.1,0.1,0.0,0.0,-0.4,0.2,0.0,0.0
-0.1,0.1,-0.3,0.3,-0.1,-0.1,0.0,0.2,0.2,0.0,0.0,0.0
-0.3,0.1,-0.1,0.2,0.2,0.0,-0.1,0.1,-0.1,0.0,0.2,0.0
0.1,-0.1,-0.1,0.1,0.1,0.1,0.3,-0.5,-0.5,0.1,-0.1,-0.1
0.0,0.0,-0.2,0.1,0.1,0.3,-0.1,0.1,0.1,0.0,0.0,-0.2
-0.2,-0.2,0.4,0.0,0.0,0.0,0.1,0.1,0.1,-0.1,-0.3,0.3
0.0,0.4,0.0,-0.1,-0.1,0.3,0.1,0.1,0.1,-0.2,0.2,-0.2
-0.1,-0.1,-0.1,-0.1,-0.1,0.1,0.3,0.1,0.1,0.1,-0.3,-0.1
0.1,0.1,-0.3,0.1,0.3,0.1,0.2,0.2,0.2,0.0,0.0,0.0
0.0,0.2,0.0,-0.2,0.0,0.2,-0.1,-0.1,0.1,-0.1,-0.1,-0.1
0.3,-0.1,-0.1,0.0,0.0,0.0,0.3,-0.3,-0.1,0.0,0.0,0.2
-0.1,0.1,-0.1,0.0,-0.2,0.0,-0.1,-0.1,0.3,0.2,0.0,-0.2
0.1,-0.1,-0.1,0.0,0.0,0.0,-0.3,0.3,-0.3,-0.2,0.0,0.0
0.1,-0.1,0.1,0.2,0.0,0.0,-0.1,0.1,0.1,0.2,0.0,0.0
-0.1,-0.1,0.1,-0.1,-0.1,0.1,-0.1,-0.1,0.3,-0.1,-0.3,-0.1
